Type,X,Y,OBJECTID,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
TOW,-93.247964,44.984395,35,02/12/2019 10:44pm,"523 university ave se,Minneapolis,MN",44.984395,-93.247964,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.247368,45.008882,36,02/12/2019 10:46pm,"1998 Central ave ne,Minneapolis,MN",45.008882,-93.247368,1,Northeast,Holland,2,1,Westminster
TOW,-93.247412,45.029434,37,02/12/2019 10:49pm,"3400 Block of central ave Ne,Minneapolis,MN",45.029434,-93.247412,1,Northeast,Columbia Park,2,1,Westminster
TOW,-93.245131,44.983287,38,02/12/2019 10:53pm,"717 university ave se,Minneapolis,MN",44.983287,-93.245131,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.280114,44.944558,39,02/12/2019 10:54pm,"3200 Blaisdell ave south,Minneapolis,MN",44.944558,-93.280114,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.248486,44.984603,40,02/12/2019 10:54pm,"507 UNIVERSITY AVE SE,Minneapolis,MN",44.984603,-93.248486,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.290328,44.988667,41,02/12/2019 10:57pm,"1049 7th st n,Minneapolis,MN",44.988667,-93.290328,5,Near North,Sumner - Glenwood,1,1,Westminster
TOW,-93.252412,44.937765,42,02/12/2019 10:58pm,"3598 Bloomington ave s,Minneapolis,MN",44.937765,-93.252412,9,Powderhorn,Powderhorn Park,6,1,Westminster
TOW,-93.244366,44.982961,43,02/12/2019 10:59pm,"803 UNIVERSITY AVE SE,Minneapolis,MN",44.982961,-93.244366,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.252835,44.910536,44,02/12/2019 11:00pm,"5100 Bloomington,Minneapolis,MN",44.910536,-93.252835,11,Nokomis,Hale,6,1,Westminster
TOW,-93.26294,44.941224,45,02/12/2019 11:02pm,"3400 chicago,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Westminster
TOW,-93.253233,45.001206,46,02/12/2019 11:03pm,"687 13th ave NE,Minneapolis,MN",45.001206,-93.253233,1,Northeast,Logan Park,2,1,Westminster
TOW,-93.275241,44.987824,47,02/12/2019 11:04pm,"625 2nd st N,Minneapolis,MN",44.987824,-93.275241,3,Central,North Loop,1,1,Westminster
TOW,-93.275235,44.987801,48,02/12/2019 11:04pm,"619 2nd st n ,Minneapolis,MN",44.987801,-93.275235,3,Central,North Loop,1,1,Westminster
TOW,-93.263092,45.007453,49,02/12/2019 11:06pm,"1899 University ave ne,Minneapolis,MN",45.007453,-93.263092,1,Northeast,Holland,2,1,Westminster
TOW,-93.260985,45.00074,50,02/12/2019 11:10pm,"414 13th ave NE,Minneapolis,MN",45.00074,-93.260985,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.279706,44.946574,51,02/12/2019 11:11pm,"3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.260148,45.000913,52,02/12/2019 11:12pm,"509 13th ave ne,Minneapolis,MN",45.000913,-93.260148,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.279706,44.946574,53,02/12/2019 11:13pm,"3100 blaisdell ave so,Minneapolis,MN",44.946574,-93.279706,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.30069,44.952824,54,02/12/2019 11:19pm,"2737 Irving ave s ,Minneapolis,MN",44.952824,-93.30069,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.252411,44.935934,55,02/12/2019 11:21pm,"3699 bloomington ave,Minneapolis,MN",44.935934,-93.252411,9,Powderhorn,Powderhorn Park,6,1,Westminster
TOW,-93.301717,44.949748,56,02/12/2019 11:21pm,"2871 IRVING AVE S ,Minneapolis,MN",44.949748,-93.301717,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.270668,44.987426,57,02/12/2019 11:22pm,"98 4th ave n,Minneapolis,MN",44.987426,-93.270668,3,Central,North Loop,3,1,Westminster
TOW,-93.301214,44.953351,58,02/12/2019 11:24pm,"2724 Irving Ave S,Minneapolis,MN",44.953351,-93.301214,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.313889,45.029676,59,02/12/2019 11:24pm,"4101 THOMAS AVE N ,Minneapolis,MN",45.029676,-93.313889,4,Camden,Victory,1,1,Westminster
TOW,-93.219833,44.970796,60,02/12/2019 11:25pm,"177 27th ave se,Minneapolis,MN",44.970796,-93.219833,2,University,Prospect Park - East River Road,4,1,Westminster
TOW,-93.299396,44.956818,61,02/12/2019 11:26pm,"2513 IRVING AVE S,Minneapolis,MN",44.956818,-93.299396,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.269484,44.988078,62,02/12/2019 11:26pm,"101 4th ave n,Minneapolis,MN",44.988078,-93.269484,3,Central,North Loop,3,1,Westminster
TOW,-93.301776,44.951186,63,02/12/2019 11:27pm,"2841 Irving Ave s,Minneapolis,MN",44.951186,-93.301776,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.313603,45.031304,64,02/12/2019 11:29pm,"4199 thomas ave n,Minneapolis,MN",45.031304,-93.313603,4,Camden,Victory,1,1,Westminster
TOW,-93.294478,45.000416,65,02/12/2019 11:32pm,"2101 EMERSON AVE N ,Minneapolis,MN",45.000416,-93.294478,5,Near North,Jordan,1,1,Westminster
TOW,-93.302348,44.951622,66,02/12/2019 11:32pm,"2832 Irving Ave s,Minneapolis,MN",44.951622,-93.302348,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.239049,44.963982,67,02/12/2019 11:33pm,"2242 9TH ST S,Minneapolis,MN",44.963982,-93.239049,6,Longfellow,Seward,4,1,Westminster
TOW,-93.223326,44.900518,68,02/12/2019 11:36pm,"5642 34 ave s,Minneapolis,MN",44.900518,-93.223326,11,Nokomis,Wenonah,6,1,Westminster
TOW,-93.268821,45.00028,69,02/12/2019 11:36pm,"120 13th ave,Minneapolis,MN",45.00028,-93.268821,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.278261,44.98543,70,02/12/2019 11:37pm,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster
TOW,-93.294416,44.998861,71,02/12/2019 11:38pm,"1901 Emerson ave n ,Minneapolis,MN",44.998861,-93.294416,5,Near North,Near - North,1,1,Westminster
TOW,-93.232415,44.988021,72,02/12/2019 11:39pm,"1313 como ave se,Minneapolis,MN",44.988021,-93.232415,2,University,Como,4,1,Westminster
TOW,-93.239905,44.963688,73,02/12/2019 11:40pm,"2211 9th st s,Minneapolis,MN",44.963688,-93.239905,6,Longfellow,Seward,4,1,Westminster
TOW,-93.301214,44.953351,74,02/12/2019 11:43pm,"2724 IRVING AVE S,Minneapolis,MN",44.953351,-93.301214,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.301796,44.950621,75,02/12/2019 11:43pm,"2857 Irving ave s ,Minneapolis,MN",44.950621,-93.301796,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.279744,44.934105,76,02/12/2019 11:44pm,"3800 blaisdell ave so,Minneapolis,MN",44.934105,-93.279744,8,Southwest,King Field,5,1,Westminster
TOW,-93.239958,44.963689,77,02/12/2019 11:44pm,"2217 9TH ST S,Minneapolis,MN",44.963689,-93.239958,6,Longfellow,Seward,4,1,Westminster
TOW,-93.229763,44.987685,78,02/12/2019 11:45pm,"1512 como ave se,Minneapolis,MN",44.987685,-93.229763,2,University,Como,4,1,Westminster
TOW,-93.267222,45.001252,79,02/12/2019 11:46pm,"143 13th ave ne,Minneapolis,MN",45.001252,-93.267222,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.226506,44.969891,80,02/12/2019 11:48pm,"609 oak st se,Minneapolis,MN",44.969891,-93.226506,2,University,Prospect Park - East River Road,4,1,Westminster
TOW,-93.266674,45.001099,81,02/12/2019 11:50pm,"171 13th ave,Minneapolis,MN",45.001099,-93.266674,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.301796,44.950621,82,02/12/2019 11:51pm,"2857 IRVING AVE S ,Minneapolis,MN",44.950621,-93.301796,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.281374,44.988633,83,02/12/2019 11:51pm,"901 3rd st n,Minneapolis,MN",44.988633,-93.281374,3,Central,North Loop,1,1,Westminster
TOW,-93.280074,44.942774,84,02/12/2019 11:52pm,"3300 block of Blaisdell Avenue so,Minneapolis,MN",44.942774,-93.280074,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.278261,44.98543,85,02/12/2019 11:52pm,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster
TOW,-93.238172,44.967234,86,02/12/2019 11:55pm,"24TH AVE S & 9TH ST ,Minneapolis,MN",44.967234,-93.238172,2,University,Cedar Riverside,4,1,Westminster
TOW,-93.280074,44.942774,87,02/12/2019 11:56pm,"3300 block of Blaisdell Avenue so,Minneapolis,MN",44.942774,-93.280074,8,Powderhorn,Lyndale,5,1,Westminster
TOW,-93.301776,44.951186,88,02/12/2019 11:56pm,"2841 Irving av s ,Minneapolis,MN",44.951186,-93.301776,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.300006,44.954523,89,02/12/2019 11:57pm,"2643 IRVING AVE S,Minneapolis,MN",44.954523,-93.300006,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.262882,44.923811,90,02/12/2019 11:58pm,"4342 Chicago Avenue South,Minneapolis,MN",44.923811,-93.262882,8,Nokomis,Regina,5,1,Westminster
TOW,-93.282878,44.988683,91,02/12/2019 11:58pm,"998 4th st n,Minneapolis,MN",44.988683,-93.282878,5,Central,North Loop,1,1,Westminster
TOW,-93.238172,44.967234,92,02/13/2019 12:00am,"24TH AVE S & 9TH ST ,Minneapolis,MN",44.967234,-93.238172,2,University,Cedar Riverside,4,1,Westminster
TOW,-93.252641,45.013465,93,02/13/2019 12:01am,"2500 Monroe st ne,Minneapolis,MN",45.013465,-93.252641,1,Northeast,Holland,2,1,Westminster
TOW,-93.301717,44.95106,94,02/13/2019 12:03am,"2845 Irving Ave S,Minneapolis,MN",44.95106,-93.301717,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.235611,45.012673,95,02/13/2019 12:05am,"1720 Lowery ave ne,Minneapolis,MN",45.012673,-93.235611,1,Northeast,Windom Park,2,1,Westminster
TOW,-93.227338,44.940287,96,02/13/2019 12:05am,"3432 31st Avenue South,Minneapolis,MN",44.940287,-93.227338,12,Longfellow,Howe,6,1,Westminster
TOW,-93.294206,44.958399,97,02/13/2019 12:07am,"2425 Hennepin Ave South,Minneapolis,MN",44.958399,-93.294206,10,Calhoun Isle,Lowry Hill East,3,1,Westminster
TOW,-93.219368,44.971363,98,02/13/2019 12:08am,"201-299 27th av se,Minneapolis,MN",44.971363,-93.219368,2,University,Prospect Park - East River Road,4,1,Westminster
TOW,-93.252175,44.944554,99,02/13/2019 12:10am,"3201 Bloomington Ave S ,Minneapolis,MN",44.944554,-93.252175,9,Powderhorn,Powderhorn Park,6,1,Westminster
TOW,-93.257071,44.989004,100,02/13/2019 12:11am,"99-1 University ave Ne,Minneapolis,MN",44.989004,-93.257071,3,University,Nicollet Island - East Bank,2,1,Westminster
TOW,-93.275327,44.934118,101,02/13/2019 12:11am,"1-99 38th St E,Minneapolis,MN",44.934118,-93.275327,8,Southwest,King Field,5,1,Westminster
TOW,-93.294047,45.014927,102,02/13/2019 12:11am,"3298 Emerson ave n ,Minneapolis,MN",45.014927,-93.294047,4,Camden,Folwell,1,1,Westminster
TOW,-93.294726,44.962898,103,02/13/2019 12:12am,"1200 franklin,Minneapolis,MN",44.962898,-93.294726,7,Calhoun Isle,Lowry Hill,3,1,Westminster
TOW,-93.278261,44.98543,104,02/13/2019 12:12am,"600 4th st n,Minneapolis,MN",44.98543,-93.278261,3,Central,North Loop,1,1,Westminster
TOW,-93.258657,44.987179,105,02/13/2019 12:13am,"2 - 98 Lourdes pl,Minneapolis,MN",44.987179,-93.258657,3,University,Nicollet Island - East Bank,4,1,Westminster
TOW,-93.227082,44.948377,106,02/13/2019 12:14am,"3000 31st av s,Minneapolis,MN",44.948377,-93.227082,2,Longfellow,Longfellow,4,1,Westminster
TOW,-93.245455,44.983952,107,02/13/2019 12:14am,"700 4st n,Minneapolis,MN",44.983952,-93.245455,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.29531,45.016914,108,02/13/2019 12:14am,"3400-3498 Fremont ave n ,Minneapolis,MN",45.016914,-93.29531,4,Camden,Folwell,1,1,Westminster
TOW,-93.298375,44.952833,109,02/13/2019 12:15am,"2730 hennepin ,Minneapolis,MN",44.952833,-93.298375,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.257863,44.986553,110,02/13/2019 12:15am,"98 Lourdes Pl Ne,Minneapolis,MN",44.986553,-93.257863,3,University,Nicollet Island - East Bank,4,1,Westminster
TOW,-93.220409,44.926932,111,02/13/2019 12:16am,"3600 42nd st,Minneapolis,MN",44.926932,-93.220409,12,Longfellow,Hiawatha,6,1,Westminster
TOW,-93.278943,44.985788,112,02/13/2019 12:16am,"700 4th st n ,Minneapolis,MN",44.985788,-93.278943,3,Central,North Loop,1,1,Westminster
TOW,-93.262802,44.924992,113,02/13/2019 12:17am,"4300 Chicago ave s,Minneapolis,MN",44.924992,-93.262802,8,Nokomis,Regina,5,1,Westminster
TOW,-93.282678,44.967838,114,02/13/2019 12:19am,"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,3,1,Westminster
TOW,-93.243184,44.960982,115,02/13/2019 12:20am,"2188 MINNEHAHA AVE S,Minneapolis,MN",44.960982,-93.243184,6,Longfellow,Seward,4,1,Westminster
TOW,-93.298584,44.952607,116,02/13/2019 12:20am,"2736 HENNEPIN AVE ,Minneapolis,MN",44.952607,-93.298584,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.22709,44.946834,117,02/13/2019 12:21am,"3100 31st ave s,Minneapolis,MN",44.946834,-93.22709,2,Longfellow,Longfellow,6,1,Westminster
TOW,-93.282678,44.967838,118,02/13/2019 12:23am,"300 15TH ST W,Minneapolis,MN",44.967838,-93.282678,7,Central,Loring Park,3,1,Westminster
TOW,-93.290992,44.984098,119,02/13/2019 12:24am,"401 6th avenue North,Minneapolis,MN",44.984098,-93.290992,5,Near North,Sumner - Glenwood,3,1,Westminster
TOW,-93.253432,44.934315,120,02/13/2019 12:27am,"1500 BLOCK 38TH ST E,Minneapolis,MN",44.934315,-93.253432,9,Powderhorn,Powderhorn Park,6,1,Westminster
TOW,-93.250682,44.946418,121,02/13/2019 12:27am,"1611 31st st e,Minneapolis,MN",44.946418,-93.250682,9,Powderhorn,Powderhorn Park,6,1,Westminster
TOW,-93.286022,44.968446,122,02/13/2019 12:29am,"300 498 15th Street West,Minneapolis,MN",44.968446,-93.286022,7,Central,Loring Park,3,1,Westminster
TOW,-93.295666,45.025781,123,02/13/2019 12:35am,"3898 Fremont Ave n,Minneapolis,MN",45.025781,-93.295666,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.216134,44.972643,124,02/13/2019 12:36am,"2830 4th st se,Minneapolis,MN",44.972643,-93.216134,2,University,Prospect Park - East River Road,4,1,Westminster
TOW,-93.295474,45.029726,125,02/13/2019 12:36am,"4100 Freemont Ave N,Minneapolis,MN",45.029726,-93.295474,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.273786,44.940513,126,02/13/2019 12:38am,"3425 2ND AVE S,Minneapolis,MN",44.940513,-93.273786,9,Powderhorn,Central,5,1,Westminster
TOW,-93.301753,44.950525,127,02/13/2019 12:38am,"2861 Irving Ave s,Minneapolis,MN",44.950525,-93.301753,7,Calhoun Isle,East Isles,3,1,Westminster
TOW,-93.239958,44.963689,128,02/12/2019 11:42pm,"2217 S 9 St,Minneapolis,MN",44.963689,-93.239958,6,Longfellow,Seward,4,1,Westminster
TOW,-93.243107,44.960177,129,02/13/2019 12:39am,"2296 MINNEHAHA AVE,Minneapolis,MN",44.960177,-93.243107,6,Longfellow,Seward,4,1,Westminster
TOW,-93.296901,45.023996,130,02/13/2019 12:41am,"1398 Dowling Ave n,Minneapolis,MN",45.023996,-93.296901,4,Camden,Folwell,1,1,Westminster
TOW,-93.268698,44.968301,131,02/13/2019 12:41am,"500 15TH ST W,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Westminster
TOW,-93.293699,44.959254,132,02/13/2019 12:41am,"2339 hennepin ave ,Minneapolis,MN",44.959254,-93.293699,10,Calhoun Isle,Lowry Hill East,3,1,Westminster
TOW,-93.285815,44.968219,133,02/13/2019 12:41am,"430 OAK GROVE ,Minneapolis,MN",44.968219,-93.285815,7,Central,Loring Park,3,1,Westminster
TOW,-93.293173,44.981893,134,02/13/2019 12:42am,"208 Van white memorial blvd ,Minneapolis,MN",44.981893,-93.293173,5,Near North,Sumner - Glenwood,3,1,Westminster
TOW,-93.270207,44.939551,135,02/13/2019 12:42am,"3500 4th ave s,Minneapolis,MN",44.939551,-93.270207,9,Powderhorn,Central,5,1,Westminster
TOW,-93.281039,44.967466,136,02/13/2019 12:42am,"201 15 st w ,Minneapolis,MN",44.967466,-93.281039,7,Central,Loring Park,3,1,Westminster
TOW,-93.293072,44.962704,137,02/13/2019 12:45am,"Franklin Ave at Dupont Ave s,Minneapolis,MN",44.962704,-93.293072,7,Calhoun Isle,Lowry Hill,3,1,Westminster
TOW,-93.279336,44.967717,138,02/13/2019 12:45am,"100 15TH ST W,Minneapolis,MN",44.967717,-93.279336,7,Central,Loring Park,3,1,Westminster
TOW,-93.281656,44.968032,139,02/13/2019 12:45am,"214 15TH ST E,Minneapolis,MN",44.968032,-93.281656,7,Central,Loring Park,3,1,Westminster
TOW,-93.278758,44.967532,140,02/13/2019 12:52am,"19 15th Street West,Minneapolis,MN",44.967532,-93.278758,7,Central,Loring Park,3,1,Westminster
TOW,-93.225121,44.970031,141,02/13/2019 12:54am,"908 Fulton st se,Minneapolis,MN",44.970031,-93.225121,2,University,Prospect Park - East River Road,4,1,Westminster
TOW,-93.236117,44.981686,142,02/13/2019 12:54am,"1306 5TH ST SE,Minneapolis,MN",44.981686,-93.236117,3,University,Marcy Holmes,4,1,Westminster
TOW,-93.227339,44.940164,143,02/13/2019 12:55am,"3436 31st ave s,Minneapolis,MN",44.940164,-93.227339,12,Longfellow,Howe,6,1,Westminster
TOW,-93.269691,44.948402,144,02/13/2019 12:55am,"4TH & LAKE ST ,Minneapolis,MN",44.948402,-93.269691,6,Phillips,Phillips West,3,1,Westminster
TOW,-93.263792,44.995243,145,02/13/2019 12:55am,"700 block 2nd st ne,Minneapolis,MN",44.995243,-93.263792,3,Northeast,St. Anthony West,2,1,Westminster
TOW,-93.295995,45.026003,146,02/13/2019 12:56am,"3901Fremont ave n ,Minneapolis,MN",45.026003,-93.295995,4,Camden,Webber - Camden,1,1,Westminster
TOW,-93.262053,44.993141,147,02/13/2019 12:58am,"500 block 2nd st ne,Minneapolis,MN",44.993141,-93.262053,3,Northeast,St. Anthony West,2,1,Westminster
TOW,-93.22734,44.940101,148,02/13/2019 12:58am,"3438 31st ave s,Minneapolis,MN",44.940101,-93.22734,12,Longfellow,Howe,6,1,Westminster
TOW,-93.295494,45.018638,149,02/13/2019 01:00am,"3500 FREMONT AVE N ,Minneapolis,MN",45.018638,-93.295494,4,Camden,Folwell,1,1,Westminster
TOW,-93.227082,44.948377,150,02/13/2019 01:02am,"3000 31st ave so,Minneapolis,MN",44.948377,-93.227082,2,Longfellow,Longfellow,4,1,Westminster
TOW,-93.235375,44.987684,151,02/13/2019 01:03am,"1108 Como Avenue se,Minneapolis,MN",44.987684,-93.235375,2,University,Como,4,1,Westminster
TOW,-93.27693,44.935795,152,02/13/2019 01:03am,"3700 block of 1st Ave so ,Minneapolis,MN",44.935795,-93.27693,8,Southwest,King Field,5,1,Westminster
TOW,-93.279336,44.967717,153,02/13/2019 01:04am,"100 BLOCK OF 15TH ST W,Minneapolis,MN",44.967717,-93.279336,7,Central,Loring Park,3,1,Westminster
TOW,-93.279334,44.968799,154,02/13/2019 01:04am,"1396 lasalle av,Minneapolis,MN",44.968799,-93.279334,7,Central,Loring Park,3,1,Westminster
TOW,-93.27136,45.003857,155,02/13/2019 01:05am,"1598 Marshall st ne,Minneapolis,MN",45.003857,-93.27136,3,Northeast,Sheridan,2,1,Westminster
TOW,-93.27693,44.935795,156,02/13/2019 01:06am,"3700 block of 1st Ave so ,Minneapolis,MN",44.935795,-93.27693,8,Southwest,King Field,5,1,Westminster
TOW,-93.296187,44.944583,157,02/13/2019 01:06am,"3200 Fremont Ave,Minneapolis,MN",44.944583,-93.296187,10,Calhoun Isle,CARAG,5,1,Westminster
TOW,-93.243156,44.96094,158,02/13/2019 01:07am,"2199 MINNEHAHA AVE ,Minneapolis,MN",44.96094,-93.243156,6,Longfellow,Seward,4,1,Westminster
TOW,-93.272881,45.01611,159,02/13/2019 01:08am,"2630 Mashall st ne,Minneapolis,MN",45.01611,-93.272881,1,Northeast,Marshall Terrace,2,1,Westminster
TOW,-93.275862,44.97569,160,02/13/2019 01:10am,"2221 1 9 ST S,Minneapolis,MN",44.97569,-93.275862,7,Central,Downtown West,3,1,Westminster
TOW,-93.228469,45.013347,161,02/13/2019 01:11am,"2500 Mckinley st ne,Minneapolis,MN",45.013347,-93.228469,1,Northeast,Audubon Park,2,1,Westminster
TOW,-93.279494,44.95786,162,02/13/2019 01:11am,"2435 BLAISDELL AVE S,Minneapolis,MN",44.95786,-93.279494,10,Powderhorn,Whittier,3,1,Westminster
TOW,-93.295589,45.014955,163,02/13/2019 01:12am,"3298 fremont ave n,Minneapolis,MN",45.014955,-93.295589,4,Camden,Folwell,1,1,Westminster
