OBJECTID,OFT_1,STREET_O_N,STREET_F_N,STREET_T_N,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION,SEALCOAT_Y,SEALCOAT_C,OVERLAY_YR,PCI,PCI_BRANCH,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION,REFNO_ALL,join_X,join_Y,join_Objectid,join_Call_Taken,join_Location,join_Latitude,join_Longitude,join_Ward,join_Community,join_Neighborho,join_Tow_Zone,join_Day,join_Snow_Emerg,distance
"2032","036000650045",36TH AVE N,6TH ST N,4TH ST N,RES,"2726","10",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","394",,,2012-04-30T00:00:00.000Z,"3942",-93.285052,45.021204,"4648",2019-02-14T00:00:00.000Z,3629 4TH ST N,45.021204,-93.285052,"4",Camden,McKinley,"1","3",Westminster,0.000905807890130818
"2033","026330031501",26TH AVE SE,TALMAGE AVE SE,EAST HENNEPIN AVE,RES,"2984","12",ASPHALT7m,S.GRAN.MAT.,"1973","2004","2005","1",,,"85","658",,,2013-06-14T00:00:00.000Z,"2613",-93.216452,44.990564,"1751",2019-02-14T00:00:00.000Z,1081 26TH AVE SE,44.990564,-93.216452,"1",University,Como,"4","3",Westminster,1.64403413759456e-05
"2034","026429230012",26TH ST E,STEVENS AVE,1ST AVE S,MSA,"239","5",ASPH/CONC,S.GRAN.MAT.,"1962","1997","2009","2",,"68",,"326",,,2013-08-29T00:00:00.000Z,"2664",-93.275374,44.955859,"1398",2019-02-13T00:00:00.000Z,2536 STEVENS AVE S,44.955859,-93.275374,"10",Powderhorn,Whittier,"3","2",Westminster,0.000330654109566484
"2035","026413340032",26TH ST E,CLINTON AVE,3RD AVE S,MSA,"239",5A,ASPH/CONC,S.GRAN.MAT.,"1967",,"2009","1","1999","73",,"330",,,2013-08-29T00:00:00.000Z,"2661",-93.272804,44.955197,"4509",2019-02-14T00:00:00.000Z,2605 3RD AVE S,44.955197,-93.272804,"10",Powderhorn,Whittier,"3","3",Westminster,0.000334260588356158
"2036","459917152615",59 1/2 ST W,GRAND AVE S,PLEASANT AVE,RES,"2629","15",ASPHALT9,S.GRAN.MAT.,"1971",,,,"2009",,"100","342",,,2009-11-01T00:00:00.000Z,"6466",-93.281735,44.89556,"3658",2019-02-13T00:00:00.000Z,5936 PILLSBURY AVE,44.89556,-93.281735,"11",Southwest,Windom,"5","2",Westminster,0.00154225667905929
"2037","026426180052",26TH ST E,PORTLAND AVE,5TH AVE S,MSA,"239","7",ASPH/CONC,S.GRAN.MAT.,"1962",,"1997","3",,"62",,"330",,,2009-10-19T00:00:00.000Z,"2659",-93.269209,44.956056,"4639",2019-02-14T00:00:00.000Z,2535 5TH AVE S,44.956056,-93.269209,"6",Phillips,Phillips West,"3","3",Westminster,0.00059086940506434
"2038","036917152615",36TH ST W,GRAND AVE S,PLEASANT AVE,MSA,"251","4",ASPH/CONC,UNKNOWN,"1965","2002","2012","2",,"90",,"332",Sealcoat Exception: BLAISDELL - NICOLLET WAS SEALCOATED IN 2013.,,2008-06-24T00:00:00.000Z,"4075",-93.283825,44.937968,"2773",2019-02-14T00:00:00.000Z,316 36TH ST W,44.937968,-93.283825,"8",Powderhorn,Lyndale,"5","3",Westminster,0.000261400937510929
"2039","036912132405",36TH ST W,BLAISDELL AVE,NICOLLET AVE,MSA,"251","4",ASPH/CONC,UNKNOWN,"1965","2002","2012","2",,"90",,"479",Sealcoat Exception: BLAISDELL - NICOLLET WAS SEALCOATED IN 2013.,,2008-06-24T00:00:00.000Z,"4078",-93.281405,44.93725,"2149",2019-02-14T00:00:00.000Z,3611 PILLSBURY AVE,44.93725,-93.281405,"8",Southwest,King Field,"5","3",Westminster,0.00170528044843058
"2040","037033073208",37TH AVE N,WASHBURN AVE N,VINCENT AVE N,RES,"2630","16",CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","329",,,2013-08-01T00:00:00.000Z,"4092",-93.315099,45.020465,"4167",2019-02-13T00:00:00.000Z,2808 36TH AVE N,45.020465,-93.315099,"4",Camden,Cleveland,"1","2",Westminster,0.00199892885718217
"2041","037032083106",37TH AVE N,VINCENT AVE N,UPTON AVE N,RES,"2630","16",CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","329",,,2013-08-01T00:00:00.000Z,"4093",-93.315099,45.020465,"4167",2019-02-13T00:00:00.000Z,2808 36TH AVE N,45.020465,-93.315099,"4",Camden,Cleveland,"1","2",Westminster,0.00181553784079644
"2042","034913381228",34TH ST W,COLFAX AVE S,BRYANT AVE S,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","330",,,2013-06-11T00:00:00.000Z,"3756",-93.290871,44.941347,"1547",2019-02-13T00:00:00.000Z,906 34TH ST W,44.941347,-93.290871,"10",Calhoun Isle,CARAG,"5","2",Westminster,3.3689382494743e-05
"2043","034911042230",34TH ST W,ALDRICH AVE S,LYNDALE AVE S,RES,"2781","10",ASPHALT7,CRUSH.CONC,"1991",,"2001","2",,,"52","330",,,2013-06-11T00:00:00.000Z,"3758",-93.289764,44.941383,"1529",2019-02-13T00:00:00.000Z,810 34TH ST W,44.941383,-93.289764,"10",Calhoun Isle,CARAG,"5","2",Westminster,0.000318617728242328
"2044","037203740364",37TH AVE S,37TH ST E,36TH ST E,RES,"2688","6",ASPHALT7,CLASS 2,"1978",,"2000","3",,,"68","734",,,2012-10-11T00:00:00.000Z,"4155",-93.219084,44.93557,"3760",2019-02-13T00:00:00.000Z,3704 37TH AVE S,44.93557,-93.219084,"12",Longfellow,Howe,"6","2",Westminster,0.000238861662744859
"2045","037203340324",37TH AVE S,33RD ST E,32ND ST E,RES,"2713","1",ASPHALT7,CRUSH.CONC,"1982",,,,"2013",,"100","659",,,2013-11-01T00:00:00.000Z,"4158",-93.217832,44.946544,"2324",2019-02-14T00:00:00.000Z,3105 38TH AVE S,44.946544,-93.217832,"2",Longfellow,Cooper,"6","3",Westminster,0.00197419427996943
"2046","037202940284",37TH AVE S,29TH ST E,28TH ST E,RES,"2789","1",ASPHALT7m,S.GRAN.MAT.,"1980",,"1994","2",,,"63","659",,,2014-08-13T00:00:00.000Z,"4162",-93.217811,44.948742,"4149",2019-02-13T00:00:00.000Z,2946 38TH AVE S,44.948742,-93.217811,"2",Longfellow,Cooper,"4","2",Westminster,0.00192568071938211
"2047","037202740264",37TH AVE S,27TH ST E,26TH ST E,RES,"2788","8",ASPHALT7,CRUSH.CONC,"1981",,,,"2013",,"100","649",,,2013-11-01T00:00:00.000Z,"4164",-93.220971,44.957754,"4322",2019-02-13T00:00:00.000Z,2440 35TH AVE S,44.957754,-93.220971,"2",Longfellow,Seward,"4","2",Westminster,0.00285575094113243
"2048","037202542908",37TH AVE S,25TH ST E,SEABURY AVE,RES,"2788","8",ASPHALT7,CRUSH.CONC,"1981",,,,"2013",,"100","344",,,2013-11-01T00:00:00.000Z,"4166",-93.220386,44.958999,"2750",2019-02-14T00:00:00.000Z,2407 SEABURY AVE S,44.958999,-93.220386,"2",Longfellow,Seward,"4","3",Westminster,0.00120882243954886
"2049","037400220032",37TH ST E,2ND AVE S,3RD AVE S,RES,"2631","19",ASPHALT7m,CLASS 3,"1971",,"2009","4",,,"70","335",,,2013-07-15T00:00:00.000Z,"4169",-93.272291,44.935979,"1614",2019-02-13T00:00:00.000Z,308 37TH ST E,44.935979,-93.272291,"8",Powderhorn,Central,"5","2",Westminster,0.000452861993872042
"2050","037413340042",37TH ST E,CLINTON AVE,4TH AVE S,RES,"2631","19",ASPHALT7m,CLASS 3,"1971",,"2009","4",,,"70","336",,,2013-07-15T00:00:00.000Z,"4171",-93.271076,44.935946,"4823",2019-02-14T00:00:00.000Z,327 37TH ST E,44.935946,-93.271076,"8",Powderhorn,Central,"5","3",Westminster,8.96335033286816e-06
"2051","037400522618",37TH ST E,5TH AVE S,PORTLAND AVE,RES,"2631","19",ASPHALT7m,CLASS 3,"1971",,"2009","4",,,"70","334",,,2013-07-15T00:00:00.000Z,"4173",-93.267977,44.935997,"1555",2019-02-13T00:00:00.000Z,518 37TH ST E,44.935997,-93.267977,"8",Powderhorn,Central,"5","2",Westminster,2.96369636080696e-05
"2052","032926141607",32ND ST W,PILLSBURY AVE,FINDLEY PL,RES,"2662","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2001","3",,,"67","215",,,2011-05-26T00:00:00.000Z,"3466",-93.281489,44.944773,"857",2019-02-13T00:00:00.000Z,200 32ND ST W,44.944773,-93.281489,"8",Powderhorn,Lyndale,"5","2",Westminster,0.00012458153593072
"2053","032912132405",32ND ST W,BLAISDELL AVE,NICOLLET AVE,RES,"2662","12",ASPHALT9,S.GRAN.MAT.,"1976",,"2001","3",,,"67","460",,,2011-05-26T00:00:00.000Z,"3468",-93.279191,44.944739,"4515",2019-02-14T00:00:00.000Z,15 32ND ST W,44.944739,-93.279191,"8",Powderhorn,Lyndale,"5","3",Westminster,7.02419191094494e-06
"2054","033034013307",33RD AVE N,XERXES AVE N,WASHBURN AVE N,RES,"2630","12",CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","324",,,2013-08-01T00:00:00.000Z,"3469",-93.316172,45.011421,"2795",2019-02-14T00:00:00.000Z,2905 30TH AVE N,45.011421,-93.316172,"4",Near North,Jordan,"1","3",Westminster,0.00376674431009117
"2055","033033073208",33RD AVE N,WASHBURN AVE N,VINCENT AVE N,RES,"2630",12A,CONCRETE9,S.GRAN.MAT.,"1971",,,,,,"73","329",,,2013-08-01T00:00:00.000Z,"3470",-93.316172,45.011421,"2795",2019-02-14T00:00:00.000Z,2905 30TH AVE N,45.011421,-93.316172,"4",Near North,Jordan,"1","3",Westminster,0.00363260959030698
"2056","033031063007",33RD AVE N,UPTON AVE N,THOMAS AVE N,RES,"2630",12B,CONCRETE7,S.GRAN.MAT.,"1971",,,,,,"73","330",,,2013-08-01T00:00:00.000Z,"3472",-93.316172,45.011421,"2795",2019-02-14T00:00:00.000Z,2905 30TH AVE N,45.011421,-93.316172,"4",Near North,Jordan,"1","3",Westminster,0.00395017356474097
"2057","033023302221",33RD AVE N,MORGAN AVE N,LOGAN AVE N,RES,"2684","8",ASPHALT7,CRUSH.ROCK,"1978",,"1999","3",,,"49","328",Pavement Exception: PVMT. REPLACED ON N 1/2 BTWN. IRVING & HUMBOLDT (2001 SEWER PROJ.),,2013-06-10T00:00:00.000Z,"3480",-93.304415,45.015286,"2518",2019-02-14T00:00:00.000Z,3307 MORGAN AVE N,45.015286,-93.304415,"4",Camden,Folwell,"1","3",Westminster,0.000262006571414986
"2058","016202440224",16TH AVE S,24TH ST E,22ND ST E,RES,"2985","10",ASPHALT7m,S.GRAN.MAT.,"1972","2003","2004","1",,,"76","656",,,2014-06-26T00:00:00.000Z,"1634",-93.251113,44.960765,"2291",2019-02-14T00:00:00.000Z,2201 16TH AVE S,44.960765,-93.251113,"6",Phillips,Ventura Village,"3","3",Westminster,3.17866669564615e-06
"2059","035400122405",35TH ST E,1ST AVE S,NICOLLET AVE,MSA,"249",1A,ASPH/CONC,S.GRAN.MAT.,"1961","2002","2013","2",,"82",,"334",,,2013-09-03T00:00:00.000Z,"3852",-93.278341,44.941493,"1400",2019-02-13T00:00:00.000Z,14 34TH ST W,44.941493,-93.278341,"8",Powderhorn,Lyndale,"5","2",Westminster,0.00200134244408686
"2060","035400320022",35TH ST E,3RD AVE S,2ND AVE S,MSA,"249","2",ASPH/CONC,S.GRAN.MAT.,"1961","2002","2012","2",,"76",,"338",,,2013-09-03T00:00:00.000Z,"3849",-93.271497,44.938471,"1143",2019-02-13T00:00:00.000Z,3528 CLINTON AVE S,44.938471,-93.271497,"9",Powderhorn,Central,"5","2",Westminster,0.00167194474005859
"2061","036100264026",36TH AVE NE,2ND ST NE,2 1/2 ST NE,RES,"2650",14A,ASPHALT7m,S.GRAN.MAT.,"1974",,"2001","4",,,"75","333",,,2012-11-13T00:00:00.000Z,"3947",-93.260006,45.035262,"4060",2019-02-13T00:00:00.000Z,3640 5TH ST NE,45.035262,-93.260006,"1",Northeast,Columbia Park,"2","2",Westminster,0.00533973665761573
"2062","036140260036",36TH AVE NE,2 1/2 ST NE,3RD ST NE,RES,"2650",14A,ASPHALT7m,S.GRAN.MAT.,"1974",,"2001","4",,,"75","332",,,2012-11-13T00:00:00.000Z,"3948",-93.260006,45.035262,"4060",2019-02-13T00:00:00.000Z,3640 5TH ST NE,45.035262,-93.260006,"1",Northeast,Columbia Park,"2","2",Westminster,0.00412413687081577
"2063","027205243329",27TH AVE S,52ND ST E,WOODLAWN BLVD,RES,"2613","5",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"78","443",,,2013-10-21T00:00:00.000Z,"2752",-93.231024,44.909552,"3218",2019-02-13T00:00:00.000Z,5148 29TH AVE S,44.909552,-93.231024,"12",Nokomis,Keewaydin,"6","2",Westminster,0.00250770364716076
"2064","027204140404",27TH AVE S,41ST ST E,40TH ST E,RES,"2743","11",ASPHALT7,CRUSH.CONC,"1986",,"1995","2",,,"65","658",,,2013-07-10T00:00:00.000Z,"2757",-93.232981,44.928696,"4583",2019-02-14T00:00:00.000Z,2715 41ST ST E,44.928696,-93.232981,"12",Powderhorn,Standish,"6","3",Westminster,0.000411119159463095
"2065","027204040394",27TH AVE S,40TH ST E,39TH ST E,RES,"2756","8",ASPHALT7,CRUSH.CONC,"1979",,"1999","3",,,"51","658",,,2013-06-03T00:00:00.000Z,"2758",-93.232416,44.930521,"4666",2019-02-14T00:00:00.000Z,2721 40TH ST E,44.930521,-93.232416,"12",Powderhorn,Standish,"6","3",Westminster,0.000974475117475882
"2066","027203940384",27TH AVE S,39TH ST E,38TH ST E,RES,"2756","8",ASPHALT7,CRUSH.CONC,"1979",,"1999","3",,,"51","657",,,2013-06-03T00:00:00.000Z,"2759",-93.234648,44.933466,"4529",2019-02-14T00:00:00.000Z,3825 26TH AVE S,44.933466,-93.234648,"12",Powderhorn,Standish,"6","3",Westminster,0.00125933494766995
"2067","027203740364",27TH AVE S,37TH ST E,36TH ST E,RES,"2813","1",ASPHALT7,CRUSH.CONC,"1990",,"2000","2",,,"74","660",,,2013-07-12T00:00:00.000Z,"2761",-93.23464,44.936131,"4562",2019-02-14T00:00:00.000Z,3649 26TH AVE S,44.936131,-93.23464,"12",Powderhorn,Standish,"6","3",Westminster,0.00124766251004209
"2068","036402620272",36TH ST E,26TH AVE S,27TH AVE S,MSA,"251","8",ASPHALT,CRUSH.CONC,"1983",,"1994","2",,"70",,"328",,,2011-08-24T00:00:00.000Z,"4032",-93.234651,44.938383,"1119",2019-02-13T00:00:00.000Z,3540 26TH AVE S,44.938383,-93.234651,"9",Powderhorn,Corcoran,"6","2",Westminster,0.000650349501237772
"2069","027202840274",27TH AVE S,28TH ST E,27TH ST E,MSA,"410","2",ASPHALT9,CLASS 5,"2006",,"2007","1",,"92",,"675",,,2010-09-07T00:00:00.000Z,"2766",-93.232046,44.953308,"2683",2019-02-14T00:00:00.000Z,2719 27TH ST E,44.953308,-93.232046,"2",Longfellow,Longfellow,"4","3",Westminster,0.00106436952237983
