X,Y,Objectid,Call_Taken,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg,join_OBJECTID,join_OFT_1,join_STREET_O_N,join_STREET_F_N,join_STREET_T_N,join_NETWORK,join_BRANCH,join_SECTION,join_PAVEMENT,join_BASE,join_CONST_YR,join_RENOVATION,join_SEALCOAT_Y,join_SEALCOAT_C,join_OVERLAY_YR,join_PCI,join_PCI_BRANCH,join_LENGTH,join_COMMENTS_1,join_COMMENTS_2,join_INSPECTION,join_REFNO_ALL,distance
-93.250248,44.983353,"11",02/13/2019 08:40am,"416 2nd Ave SE,Minneapolis,MN",44.983353,-93.250248,"3",University,Marcy Holmes,"4","2",Westminster,"5402","002800330053",2ND ST SE,3RD AVE SE,5TH AVE SE,MSA,"227","1",ASPH/CONC,CRUSH.ROCK,"1967",,"2009","3",,"75",,"893",Pavement Exception: THE INTERSECTION AT 6TH AVE SE WAS PAVED IN 2001.,,2013-10-01T00:00:00.000Z,"251",0.000291417130776825
-93.25253,44.987421,"12",02/13/2019 08:43am,"412 2nd Ave SE,Minneapolis,MN",44.987421,-93.25253,"3",University,Marcy Holmes,"4","2",Westminster,"18","002300480058",2ND AVE SE,4TH ST SE,5TH ST SE,RES,"2642","2",ASPHALT9,S.GRAN.MAT.,"1974",,"2006","4",,,"80","414",Pavement Exception: Some of the pavement on 2nd Ave is 7 ton and some is 9 ton asphalt.,,2013-06-20T00:00:00.000Z,"175",1.75475498538052e-05
-93.284933,45.007599,"13",02/13/2019 08:44am,"2734 4th St. N. ,Minneapolis,MN",45.007599,-93.284933,"5",Near North,Hawthorne,"1","2",Westminster,"184","004502700280",4TH ST N,27TH AVE N,28TH AVE N,RES,"2883","6",ASPHALT7,CRUSH.CONC,"1993",,"1994","1",,,"72","462",,,2011-06-08T00:00:00.000Z,"481",2.46541083483345e-06
-93.289854,44.985597,"14",02/13/2019 08:44am,"720 Aldrich avenue North,Minneapolis,MN",44.985597,-93.289854,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"11404","110317292928",ALDRICH AVE N,GERTRUDE BROWN PL,SUMNER CT,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","128",,,2010-05-14T00:00:00.000Z,"6602",8.69413890765682e-06
-93.290884,44.965203,"15",02/13/2019 08:48am,"1804 Bryant ave s,Minneapolis,MN",44.965203,-93.290884,"7",Calhoun Isle,Lowry Hill,"3","2",Westminster,"6164","292613381228",SUMMIT AVE,COLFAX AVE S,BRYANT AVE S,RES,"2767","12",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"69","331",,,2013-07-29T00:00:00.000Z,"11478",0.000216344309732835
-93.260565,44.989942,"16",02/13/2019 08:55am,"106 3rd ave ne,Minneapolis,MN",44.989942,-93.260565,"3",Northeast,St. Anthony West,"2","2",Westminster,"108","003123040026",3RD AVE NE,MAIN ST NE,2ND ST NE,MSA,"352","1",ASPHALT9,S.GRAN.MAT.,"1986",,"2010","2",,"84",,"410",,,2006-07-13T00:00:00.000Z,"274",0.000325693991114437
-93.280643,44.968798,"17",02/13/2019 08:58am,"112 14TH ST W,Minneapolis,MN",44.968798,-93.280643,"7",Central,Loring Park,"3","2",Westminster,"590","014929212211",14TH ST W,SPRUCE PL,LASALLE AVE,RES,"2910","29",ASPHALT7,CRUSH.CONC,"2000",,"2001","1",,,"76","389",,,2013-08-20T00:00:00.000Z,"1469",6.11961901003051e-06
-93.252077,44.993075,"18",02/13/2019 08:58am,"708 3rd ave ne,Minneapolis,MN",44.993075,-93.252077,"3",Northeast,St. Anthony East,"2","2",Westminster,"2874","232900760031",MONROE ST NE,7TH ST NE,3RD AVE NE,MSA,"193","4",ASPH/CONC,UNKNOWN,"1957",,"2009","2",,"75",,"245",Pavement Exception: CENTRAL TO 3RD AV NE WAS BUILT AS PART OF BRIDGE PROJ IN 1985,,2013-08-23T00:00:00.000Z,"10036",0.000348002102960639
-93.289882,44.985444,"19",02/13/2019 08:59am,"723 Aldrich avenue North,Minneapolis,MN",44.985444,-93.289882,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"11404","110317292928",ALDRICH AVE N,GERTRUDE BROWN PL,SUMNER CT,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","128",,,2010-05-14T00:00:00.000Z,"6602",0.000161725231923212
-93.280639,44.968798,"20",02/13/2019 09:01am,"110 14TH ST W,Minneapolis,MN",44.968798,-93.280639,"7",Central,Loring Park,"3","2",Westminster,"590","014929212211",14TH ST W,SPRUCE PL,LASALLE AVE,RES,"2910","29",ASPHALT7,CRUSH.CONC,"2000",,"2001","1",,,"76","389",,,2013-08-20T00:00:00.000Z,"1469",6.12910473156957e-06
-93.250139,44.983242,"21",02/13/2019 09:02am,"424 2nd ave se,Minneapolis,MN",44.983242,-93.250139,"3",University,Marcy Holmes,"4","2",Westminster,"5402","002800330053",2ND ST SE,3RD AVE SE,5TH AVE SE,MSA,"227","1",ASPH/CONC,CRUSH.ROCK,"1967",,"2009","3",,"75",,"893",Pavement Exception: THE INTERSECTION AT 6TH AVE SE WAS PAVED IN 2001.,,2013-10-01T00:00:00.000Z,"251",0.000354250377009465
-93.284616,45.005555,"22",02/13/2019 09:08am,"2520 4th St n,Minneapolis,MN",45.005555,-93.284616,"5",Near North,Hawthorne,"1","2",Westminster,"182","004502500260",4TH ST N,25TH AVE N,26TH AVE N,RES,"2884","2",ASPHALT7,CLASS 5,"1994",,"2010","2",,,"78","405",,,2012-05-01T00:00:00.000Z,"479",0.000317309955605847
-93.286182,45.001824,"23",02/13/2019 09:09am,"2208 6th st n ,Minneapolis,MN",45.001824,-93.286182,"5",Near North,Hawthorne,"1","2",Westminster,"7608","006502200230",6TH ST N,22ND AVE N,23RD AVE N,RES,"2884","1",ASPHALT7,CLASS 5,"1994",,"2010","2",,,"78","399",,,2012-05-01T00:00:00.000Z,"745",0.000286736577182377
-93.25519,44.923997,"24",02/13/2019 09:10am,"4332 14th ave so,Minneapolis,MN",44.923997,-93.25519,"11",Nokomis,Northrop,"6","2",Westminster,"5882","014204440434",14TH AVE S,44TH ST E,43RD ST E,RES,"2683","6",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"73","659",,,2012-10-09T00:00:00.000Z,"1420",0.000251476190033225
-93.303683,44.947433,"25",02/13/2019 09:10am,"3024 James ave s,Minneapolis,MN",44.947433,-93.303683,"10",Calhoun Isle,ECCO,"5","2",Westminster,"6347","200303192204",JAMES AVE S,31ST ST W,LAKE ST W,RES,"2783","2",ASPHALT7,CRUSH.CONC,"1989",,"2001","2",,,"73","646",Pavement Exception: LAKE - LAGOON IS 9 TON ASPH PVMT,,2013-07-02T00:00:00.000Z,"9166",0.00030099851599942
-93.303697,44.947642,"26",02/13/2019 09:13am,"3018 James ave s,Minneapolis,MN",44.947642,-93.303697,"10",Calhoun Isle,ECCO,"5","2",Westminster,"6347","200303192204",JAMES AVE S,31ST ST W,LAKE ST W,RES,"2783","2",ASPHALT7,CRUSH.CONC,"1989",,"2001","2",,,"73","646",Pavement Exception: LAKE - LAGOON IS 9 TON ASPH PVMT,,2013-07-02T00:00:00.000Z,"9166",0.00031704784676143
-93.29212,44.963978,"27",02/13/2019 09:13am,"1910 Colfax Ave s ,Minneapolis,MN",44.963978,-93.29212,"7",Calhoun Isle,Lowry Hill,"3","2",Westminster,"2386","133816132215",COLFAX AVE S,FRANKLIN AVE W,LINCOLN AVE,RES,"2767","9",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"69","629",,,2013-07-29T00:00:00.000Z,"7463",0.000322143058622432
-93.285976,45.012573,"28",02/13/2019 09:15am,"3114 6th st n,Minneapolis,MN",45.012573,-93.285976,"5",Near North,Hawthorne,"1","2",Westminster,"11993","222600650045",LOWRY AVE N,6TH ST N,4TH ST N,CSAH,"153",2A,ASPHALT9,UNKNOWN,"2006",,,,,,,"397",,,,"9626",0.000398540678484941
-93.290295,44.985604,"29",02/13/2019 09:17am,"730 Aldrich avenue North,Minneapolis,MN",44.985604,-93.290295,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"11404","110317292928",ALDRICH AVE N,GERTRUDE BROWN PL,SUMNER CT,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","128",,,2010-05-14T00:00:00.000Z,"6602",1.24928492163901e-05
-93.286227,45.023012,"30",02/13/2019 09:19am,"3724 6th st n ,Minneapolis,MN",45.023012,-93.286227,"4",Camden,McKinley,"1","2",Westminster,"5177","006503701414",6TH ST N,37TH AVE N,DOWLING AVE N,RES,"2726","2",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","661",,,2012-04-30T00:00:00.000Z,"757",0.000305753028868363
-93.244435,44.98985,"31",02/13/2019 09:27am,"816 5th Ave SE ,Minneapolis,MN",44.98985,-93.244435,"3",University,Marcy Holmes,"4","2",Westminster,"5792","005300880098",5TH AVE SE,8TH ST SE,9TH ST SE,RES,"2642","6",ASPHALT7,CRUSH.ROCK,"1974",,"2006","4",,,"80","294",,,2013-06-20T00:00:00.000Z,"637",0.000293260829308024
-93.290759,44.988181,"32",02/13/2019 09:31am,"1000 aldrich ave n,Minneapolis,MN",44.988181,-93.290759,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"10467","110300900100",ALDRICH AVE N,9TH AVE N,10TH AVE N,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","335",,,2010-05-14T00:00:00.000Z,"6605",0.000281540997402644
-93.292209,44.96372,"33",02/13/2019 09:31am,"1916 Colfax Ave s ,Minneapolis,MN",44.96372,-93.292209,"7",Calhoun Isle,Lowry Hill,"3","2",Westminster,"2386","133816132215",COLFAX AVE S,FRANKLIN AVE W,LINCOLN AVE,RES,"2767","9",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"69","629",,,2013-07-29T00:00:00.000Z,"7463",0.000409953663977596
-93.246333,44.93798,"34",02/13/2019 09:31am,"3542 longfellow,Minneapolis,MN",44.93798,-93.246333,"9",Powderhorn,Corcoran,"6","2",Westminster,"1382","036413082223",36TH ST E,CEDAR AVE S,LONGFELLOW AVE,MSA,"251","8",ASPHALT,CRUSH.CONC,"1983",,"1994","2",,"70",,"335",,,2011-08-24T00:00:00.000Z,"4023",0.000248198008786093
-93.303408,44.944735,"35",02/13/2019 09:33am,"James ave s and W 32nd St. ,Minneapolis,MN",44.944735,-93.303408,"10",Calhoun Isle,ECCO,"5","2",Westminster,"1881","032920031904",32ND ST W,JAMES AVE S,IRVING AVE S,RES,"2783","6",ASPHALT7,CRUSH.CONC,"1989",,"2001","2",,,"73","331",,,2013-07-02T00:00:00.000Z,"3449",4.30217688255025e-08
-93.246315,44.935793,"36",02/13/2019 09:33am,"3700 longfellow,Minneapolis,MN",44.935793,-93.246315,"12",Powderhorn,Standish,"6","2",Westminster,"6046","037413082223",37TH ST E,CEDAR AVE S,LONGFELLOW AVE,RES,"2701","10",ASPHALT7,CRUSH.CONC,"1989",,"1999","2",,,"70","334",,,2013-07-02T00:00:00.000Z,"4190",0.000132725700820995
-93.250092,44.985665,"37",02/13/2019 09:33am,"316 4th ave se,Minneapolis,MN",44.985665,-93.250092,"3",University,Marcy Holmes,"4","2",Westminster,"176","004331040048",4TH AVE SE,UNIVERSITY AVE SE,4TH ST SE,RES,"2642","5",ASPHALT7,CRUSH.ROCK,"1974",,"2006","4",,,"80","412",,,2013-06-20T00:00:00.000Z,"462",0.000116932042496016
-93.290777,44.988337,"38",02/13/2019 09:33am,"1028 aldrich ave n,Minneapolis,MN",44.988337,-93.290777,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"11410","110301000075",ALDRICH AVE N,10TH AVE N,7TH ST N,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","547",,,2010-05-14T00:00:00.000Z,"6606",0.000273671048921948
-93.255294,44.935507,"39",02/13/2019 09:34am,"3708 14th av s,Minneapolis,MN",44.935507,-93.255294,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"5913","014203840374",14TH AVE S,38TH ST E,37TH ST E,RES,"2689","6",ASPHALT7,CRUSH.CONC,"1978",,"1999","3",,,"76","658",,,2012-10-04T00:00:00.000Z,"1426",0.000365427555768635
-93.258346,44.992441,"40",02/13/2019 09:34am,"326 4th ave ne,Minneapolis,MN",44.992441,-93.258346,"3",Northeast,St. Anthony West,"2","2",Westminster,"4294","004131050046",4TH AVE NE,UNIVERSITY AVE NE,4TH ST NE,RES,"2596","5",ASPHALT7,CRUSH.ROCK,"1965",,"1998","3",,,"76","413",,,2013-06-12T00:00:00.000Z,"419",0.000185931484785622
-93.290194,44.986067,"41",02/13/2019 09:35am,"728 Aldrich avenue North,Minneapolis,MN",44.986067,-93.290194,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"11407","292811030090",SUMNER CT,ALDRICH AVE N,9TH AVE N,PRIVAT,"-","-",UNKNOWN,UNKNOWN,,,,"0",,,,"611",,,,"11482",0.000296822705772105
-93.258346,44.992441,"42",02/13/2019 09:36am,"326 4th ave ne,Minneapolis,MN",44.992441,-93.258346,"3",Northeast,St. Anthony West,"2","2",Westminster,"4294","004131050046",4TH AVE NE,UNIVERSITY AVE NE,4TH ST NE,RES,"2596","5",ASPHALT7,CRUSH.ROCK,"1965",,"1998","3",,,"76","413",,,2013-06-12T00:00:00.000Z,"419",0.000185931484785622
-93.25521,44.938137,"43",02/13/2019 09:37am,"3538 14th av s,Minneapolis,MN",44.938137,-93.25521,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"505","014203640354",14TH AVE S,36TH ST E,35TH ST E,RES,"2652","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","658",,,2013-08-26T00:00:00.000Z,"1428",0.000259003186188604
-93.251468,44.945376,"44",02/13/2019 09:38am,"3136 16 th ave s,Minneapolis,MN",44.945376,-93.251468,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"574","016203240314",16TH AVE S,32ND ST E,31ST ST E,RES,"2729","1",ASPHALT7m,S.GRAN.MAT.,"1977",,"1998","3",,,"73","663",,,2013-07-08T00:00:00.000Z,"1626",0.000259033151109176
-93.246744,44.986904,"45",02/13/2019 09:38am,"520 5th ave se,Minneapolis,MN",44.986904,-93.246744,"3",University,Marcy Holmes,"4","2",Westminster,"251","005300580068",5TH AVE SE,5TH ST SE,6TH ST SE,RES,"2251","1",ASPHALT7m,S.GRAN.MAT.,"1976","2004","2005","1",,,"91","406",,,2012-11-08T00:00:00.000Z,"634",0.000310507787536658
-93.254104,44.943232,"46",02/13/2019 09:38am,"3250 15th ave s,Minneapolis,MN",44.943232,-93.254104,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"6848","033401420152",33RD ST E,14TH AVE S,15TH AVE S,RES,"2652","17",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","330",,,2013-08-26T00:00:00.000Z,"3554",0.000309570203902017
-93.28114,44.968506,"47",02/13/2019 09:40am,"1308 spruce pl,Minneapolis,MN",44.968506,-93.28114,"7",Central,Loring Park,"3","2",Westminster,"9218","014933252921",14TH ST W,WILLOW ST,SPRUCE PL,RES,"2910","29",ASPHALT7,CRUSH.CONC,"2000",,"2001","1",,,"76","266",,,2013-08-20T00:00:00.000Z,"1468",0.000287076267921413
-93.234342,44.990245,"48",02/13/2019 09:48am,"1078 12th ave se,Minneapolis,MN",44.990245,-93.234342,"2",University,Como,"4","2",Westminster,"7319","012330031501",12TH AVE SE,TALMAGE AVE SE,EAST HENNEPIN AVE,RES,"2984","1",ASPHALT7m,S.GRAN.MAT.,"1973","2004","2005","1",,,"85","669",,,2013-06-14T00:00:00.000Z,"1266",0.000246875917933928
-93.290758,44.987954,"49",02/13/2019 09:50am,"950 Aldrich avenue North,Minneapolis,MN",44.987954,-93.290758,"5",Near North,Sumner - Glenwood,"1","2",Westminster,"10467","110300900100",ALDRICH AVE N,9TH AVE N,10TH AVE N,RES,"9746","5",ASPHALT7m,CRUSH.CONC,"2002",,"2006","1",,,"87","335",,,2010-05-14T00:00:00.000Z,"6605",0.00021160605177849
-93.294697,44.963019,"50",02/13/2019 09:50am,"1950 Emerson Ave S,Minneapolis,MN",44.963019,-93.294697,"7",Calhoun Isle,Lowry Hill,"3","2",Westminster,"8180","161316181516",FRANKLIN AVE W,FREMONT AVE S,EMERSON AVE S,LOCAL,FRANKW,"2",ASPHALT9,S.GRAN.MAT.,"1980",,"2007","3",,"59",,"330",Pavement Exception: IT IS UNKNOWN WHEN THE WEST 100' OF THIS SEC. WAS BUILT.,,2013-11-22T00:00:00.000Z,"8313",0.000305821485861166
-93.286239,45.024075,"51",02/13/2019 09:50am,"3800 6th st n ,Minneapolis,MN",45.024075,-93.286239,"4",Camden,Webber - Camden,"1","2",Westminster,"8325","141400650045",DOWLING AVE N,6TH ST N,4TH ST N,MSA,"169","3",ASPH/CONC,UNKNOWN,"1978",,"2014","1","2010","100",,"252",Pavement Exception: I-94 TO WASHINGTON WAS NOT OVERLAID IN 2010.,,2010-11-01T00:00:00.000Z,"7667",0.000147749069305651
-93.286216,45.022392,"52",02/13/2019 09:52am,"3706 6th st n,Minneapolis,MN",45.022392,-93.286216,"4",Camden,McKinley,"1","2",Westminster,"7032","037000650045",37TH AVE N,6TH ST N,4TH ST N,RES,"2726","11",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","394",,,2012-04-30T00:00:00.000Z,"4110",0.000277172730104275
-93.234319,44.988641,"53",02/13/2019 09:52am,"1026 12th ave se,Minneapolis,MN",44.988641,-93.234319,"2",University,Como,"4","2",Westminster,"489","012313453003",12TH AVE SE,COMO AVE SE,TALMAGE AVE SE,RES,"2984","1",ASPHALT7m,S.GRAN.MAT.,"1973","2004","2005","1",,,"85","662",,,2013-06-14T00:00:00.000Z,"1265",0.00027101002136862
-93.30209,44.950096,"54",02/13/2019 09:53am,"THE MALL / IRVING AVE S ,Minneapolis,MN",44.950096,-93.30209,"7",Calhoun Isle,East Isles,"3","2",Westminster,"12079","230719042003",THE MALL,IRVING AVE S,JAMES AVE S,PRKBD,THMALL,2WB,ASPHALT7,CRUSH.CONC,"1989",,"1990","1",,"64",,"330",,,2011-11-28T00:00:00.000Z,"11547",5.47612334121421e-07
-93.289086,45.029133,"55",02/13/2019 09:54am,"4050 Aldrich ave n ,Minneapolis,MN",45.029133,-93.289086,"4",Camden,Webber - Camden,"1","2",Westminster,"11909","041011032229",41ST AVE N,ALDRICH AVE N,LYNDALE AVE N,RES,"2636","10",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","327",,,2011-05-12T00:00:00.000Z,"4634",0.000231381860503512
-93.286239,45.022939,"56",02/13/2019 09:54am,"3722 6th st n ,Minneapolis,MN",45.022939,-93.286239,"4",Camden,McKinley,"1","2",Westminster,"5177","006503701414",6TH ST N,37TH AVE N,DOWLING AVE N,RES,"2726","2",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","661",,,2012-04-30T00:00:00.000Z,"757",0.00029333624931069
-93.303708,44.946377,"57",02/13/2019 09:56am,"3102 James Ave S, Minneapolis,MN",44.946377,-93.303708,"10",Calhoun Isle,ECCO,"5","2",Westminster,"7436","031921042003",31ST ST W,KNOX AVE S,JAMES AVE S,MSA,"366","1",ASPH/CONC,CLASS 5,"1968",,"2010","2","1993","76",,"329",,,2006-08-02T00:00:00.000Z,"3320",0.000219470458001629
-93.23172,44.991731,"58",02/13/2019 09:57am,"1126 14th ave se,Minneapolis,MN",44.991731,-93.23172,"1",University,Como,"2","2",Westminster,"4515","150101430153",EAST HENNEPIN AVE,14TH AVE SE,15TH AVE SE,CSAH,"052","6",ASPHALT9,CLASS 5,"1989",,,,"2009",,,"330",Pavement Exception: 14th to 16th Ave SE was not overlaid in 2009.,,,"7812",0.000266119521786826
-93.244733,44.989444,"59",02/13/2019 10:01am,"804 5th ave se,Minneapolis,MN",44.989444,-93.244733,"3",University,Marcy Holmes,"4","2",Westminster,"383","008800530063",8TH ST SE,5TH AVE SE,6TH AVE SE,MSA,"231","2",ASPHALT9,S.GRAN.MAT.,"1971",,"1984","1",,"34",,"415",,,2011-08-31T00:00:00.000Z,"963",0.00020201764970049
-93.255508,44.933652,"60",02/13/2019 10:01am,"3826 14th Avenue South,Minneapolis,MN",44.933652,-93.255508,"8",Powderhorn,Bancroft,"6","2",Westminster,"1601","038401320142",38TH ST E,13TH AVE S,14TH AVE S,MSA,"253","4",ASPH/CONC,S.GRAN.MAT.,"1963",,,,"2012","100",,"327",,,2012-11-01T00:00:00.000Z,"4282",0.000483778109127669
-93.233322,44.993286,"61",02/13/2019 10:01am,"1200 winter st ne,Minneapolis,MN",44.993286,-93.233322,"1",University,Como,"2","2",Westminster,"9584","332831021702",WINTER ST NE,ULYSSES ST NE,GARFIELD ST NE,LOCAL,WINTR,"3",ASPHALT9,CLASS 7,"2013",,"2014","1",,"100",,"659",,,2013-11-01T00:00:00.000Z,"12365",3.29661147668736e-06
-93.303664,44.945557,"62",02/13/2019 10:02am,"3128 James ave s,Minneapolis,MN",44.945557,-93.303664,"10",Calhoun Isle,ECCO,"5","2",Westminster,"3895","200303290319",JAMES AVE S,32ND ST W,31ST ST W,RES,"2783","2",ASPHALT7,CRUSH.CONC,"1989",,"2001","2",,,"73","679",Pavement Exception: LAKE - LAGOON IS 9 TON ASPH PVMT,,2013-07-02T00:00:00.000Z,"9165",0.000261578359665137
-93.2552,44.938055,"63",02/13/2019 10:04am,"3542 14th Avenue South,Minneapolis,MN",44.938055,-93.2552,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,"505","014203640354",14TH AVE S,36TH ST E,35TH ST E,RES,"2652","11",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","658",,,2013-08-26T00:00:00.000Z,"1428",0.000249731008405043
-93.243662,44.988971,"64",02/13/2019 10:05am,"804 6th ave se,Minneapolis,MN",44.988971,-93.243662,"3",University,Marcy Holmes,"4","2",Westminster,"5053","006300880098",6TH AVE SE,8TH ST SE,9TH ST SE,RES,"2642","9",ASPHALT9,S.GRAN.MAT.,"1974",,"2006","4",,,"80","410",,,2013-06-20T00:00:00.000Z,"739",4.07741417323877e-06
-93.233309,44.993286,"65",02/13/2019 10:06am,"1202 winter st ne,Minneapolis,MN",44.993286,-93.233309,"1",University,Como,"2","2",Westminster,"4997","332817020143",WINTER ST NE,GARFIELD ST NE,14TH AVE SE,LOCAL,WINTR,"3",ASPHALT9,CLASS 7,"2013",,"2014","1",,"100",,"330",,,2013-11-01T00:00:00.000Z,"12366",3.03898048194292e-06
-93.291051,44.99141,"66",02/13/2019 10:06am,"706 Bryant avenue North,Minneapolis,MN",44.99141,-93.291051,"5",Near North,Near - North,"1","2",Westminster,"3377","261614171103",PLYMOUTH AVE N,DUPONT AVE N,ALDRICH AVE N,MSA,"197","3",ASPHALT9,S.GRAN.MAT.,"1981",,"2013","4",,"66",,"791",,,2011-10-27T00:00:00.000Z,"10817",0.000559080551840363
